id,station_id,name,capacity_mw,source,source_link,page,notes
0,0,Arnot Power Station,370,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
1,0,Arnot Power Station,370,Eskom Integrated Report 2023,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
2,0,Arnot Power Station,370,Eskom Integrated Report 2024,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
3,0,Arnot Power Station,370,Eskom Integrated Report 2025,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
4,0,Arnot Power Station,370,Eskom Integrated Report 2026,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
5,0,Arnot Power Station,370,Eskom Integrated Report 2027,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
6,1,Camden Powwer Station,200,Eskom Integrated Report 2028,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
7,1,Camden Powwer Station,200,Eskom Integrated Report 2029,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
8,1,Camden Powwer Station,200,Eskom Integrated Report 2030,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
9,1,Camden Powwer Station,196,Eskom Integrated Report 2031,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
10,1,Camden Powwer Station,195,Eskom Integrated Report 2032,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
11,1,Camden Powwer Station,195,Eskom Integrated Report 2033,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
12,1,Camden Powwer Station,190,Eskom Integrated Report 2034,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
13,1,Camden Powwer Station,185,Eskom Integrated Report 2035,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
14,2,Duvha Power Station,600,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
15,2,Duvha Power Station,600,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
16,2,Duvha Power Station,600,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
17,2,Duvha Power Station,600,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
18,2,Duvha Power Station,600,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
19,3,Grootvlei Power Station,200,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
20,3,Grootvlei Power Station,200,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
21,3,Grootvlei Power Station,200,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
22,3,Grootvlei Power Station,200,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
23,3,Grootvlei Power Station,190,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
24,3,Grootvlei Power Station,190,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
25,4,Hendrina Power Station,200,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
26,4,Hendrina Power Station,200,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
27,4,Hendrina Power Station,200,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
28,4,Hendrina Power Station,200,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
29,4,Hendrina Power Station,200,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
30,4,Hendrina Power Station,195,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
31,4,Hendrina Power Station,191,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
32,4,Hendrina Power Station,170,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
33,4,Hendrina Power Station,167,Eskom Integrated Report 2022,https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf,150,
34,5,Kelvin Power Station,30,Wikipedia,https://en.wikipedia.org/wiki/Kelvin_Power_Station,,Units from Station shut down in 2012
35,5,Kelvin Power Station,30,Wikipedia,https://en.wikipedia.org/wiki/Kelvin_Power_Station,,Units from Station shut down in 2012
36,5,Kelvin Power Station,30,Wikipedia,https://en.wikipedia.org/wiki/Kelvin_Power_Station,,Units from Station shut down in 2012
37,5,Kelvin Power Station,30,Wikipedia,https://en.wikipedia.org/wiki/Kelvin_Power_Station,,Units from Station shut down in 2012
38,5,Kelvin Power Station,30,Wikipedia,https://en.wikipedia.org/wiki/Kelvin_Power_Station,,Units from Station shut down in 2012
39,5,Kelvin Power Station,30,Wikipedia,https://en.wikipedia.org/wiki/Kelvin_Power_Station,,Units from Station shut down in 2012
40,5,Kelvin Power Station,60,Wikipedia,https://en.wikipedia.org/wiki/Kelvin_Power_Station,,Units from station b
41,5,Kelvin Power Station,60,Wikipedia,https://en.wikipedia.org/wiki/Kelvin_Power_Station,,Units from station b
42,5,Kelvin Power Station,60,Wikipedia,https://en.wikipedia.org/wiki/Kelvin_Power_Station,,Units from station b
43,5,Kelvin Power Station,60,Wikipedia,https://en.wikipedia.org/wiki/Kelvin_Power_Station,,Units from station b
44,5,Kelvin Power Station,60,Wikipedia,https://en.wikipedia.org/wiki/Kelvin_Power_Station,,Units from station b
