report	publisher	blurb	period_covered	last_updated	key	tags	link	Algeria	Angola	Benin	Botswana	Burkina Faso	Burundi	Cameroon	Cape Verde	Central African Republic	Chad	Comoros	Congo	Cote d'Ivoire	Democratic Republic of Congo	Djibouti	Egypt	Equatorial Guinea	Eritrea	Eswatini	Ethiopia	Gabon	Gambia	Ghana	Guinea	Guinea-Bissau	Kenya	Lesotho	Liberia	Libya	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Rwanda	Saint Helena	Sao Tome and Principe	Senegal	Seychelles	Sierra Leone	Somalia	South Africa	South Sudan	Sudan	Tanzania	Togo	Tunisia	Uganda	Zambia	Zimbabwe
Agriculture Monitoring for Eastern Africa	Intergovernmental Authority on Development Climate and Applications Centre 	The Intergovernmental Authority on Development Climate and Applications Centre developed the Agriculture Monitoring for Eastern Africa, which observes croplands to build resilience in areas affected by climate change. Djibouti, Ethiopia, Kenya, Somalia, Sudan and Uganda formed IGADD in 1986 to reduce the impacts of natural disasters such as droughts.	2023	2023-07-27	AMEA	rainfall, land cover, food security	https://agriculturehotspots.icpac.net/	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	yes	no	no	yes	no	yes	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	yes	no	yes	yes	yes	no	no	yes	no	no
Berkley Earth	Berkley Earth	Berkley Earth is a US-based non-profit supplying open-source temperature change and air pollution data which started in 2010 to address global warming sceptics. It gathers data from weather stations. The Intergovernmental Panel on Climate Change, the Washington Post, New York Times, National Geographic and Scientific American have all used its data.	2022	2023-07-18	BE	temperature	https://berkeleyearth.org/	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes
BP Statistical Review of World Energy	BP	BP supplied access to statistics on world energy use for 70 years. It covered oil production, renewable energy and energy consumption. In 2023, it handed its custodianship of the project to the Energy Institute. The report aims to supply timely and objective global energy production, consumption and emission data.	2022	2023-07-18	BP	oil, gas, coal, nuclear, renewables, hydroelectricity, mining	https://www.bp.com/en/global/corporate/energy-economics/statistical-review-of-world-energy/co2-emissions.html	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	no	no
Centre for Environmental Data Analysis – satellite observations	Centre for Environmental Data Analysis	UK-based Centre for Environmental Data Analysis aims to work with the science environmental community by archiving big data and using new technologies to enhance satellite-captured information. It works with National Centre for Atmospheric Science and the National Centre for Earth Observation. CEDA started from the merger of two data centres.	2023	2023-07-21	CEDA	satellite	https://geo-search.ceda.ac.uk/	yes	yes	no	yes	no	no	yes	no	yes	yes	no	yes	yes	yes	yes	no	no	yes	yes	yes	yes	no	no	yes	no	yes	yes	yes	yes	no	yes	yes	yes	no	yes	yes	no	no	yes	no	no	no	no	no	no	yes	yes	no	no	yes	no	yes	no	no	no
CHIRPS Data Service	Water Resource Associates	Climate Hazards Group InfraRed Precipitation with Station data (CHIRPS) is an almost global rain dataset focussing on Africa and Asia. It began collecting data in 1981 and uses satellite footage from NOAA and NASA. UK-based Water Resource Associates manages the CHIRP data and extracts it for clients for a fee. 	2019	2023-07-26	CHIRP	rainfall	https://www.watres.com/CHIRPS/	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
CHRS Data Portal	Center for Hydrometeorology and Remote Sensing	The University of California, Irvine's Center for Hydrometeorology and Remote Sensing (CHRS) data portal uses satellite information to estimate global and regional rainfall. The project aims to 'advance the knowledge of the water and energy cycles'. NASA, NOAA and the NSF fund CHRS. It is an interdisciplinary research project.	2023	2023-07-25	CHRS	rainfall	https://chrsdata.eng.uci.edu	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
CHRS Rain	Center for Hydrometeorology and Remote Sensing	The University of California, Irvine's Center for Hydrometeorology and Remote Sensing (CHRS) data portal uses satellite information to estimate global and regional rainfall over 72 hours. The project aims to track real-time extreme weather events and observe precipitation. Unesco, the US Army's ICIWaRM and NASA have funded the two-decade project	2023	2023-07-25	CHRSR	rainfall	https://irain.eng.uci.edu	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
CHRS Rain Sphere	Center for Hydrometeorology and Remote Sensing	The University of California, Irvine's Center for Hydrometeorology and Remote Sensing (CHRS) rain sphere uses satellite information to estimate global and regional precipitation and improve people's understanding of climate change. Dr Phu Nguyen runs the project with the assistance of undergraduate students. UNESCO, the US Army, NASA and NOAA fund it.	2023	2023-07-25	CHRSRP	rainfall	https://rainsphere.eng.uci.edu	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Climate Central – Climate Shift Index	Climate Central	US-based Non-profit Climate Central works on gathering big data to make climate change personal and help find solutions. It began in 2008 to promote understanding of global warming, with funding from the Flora Family Foundation and the 11th Hour Project. Its data featured at the 2021 UN Climate Conference.	2023	2023-07-18	CCI	temperature	https://csi.climatecentral.org/csi-contour-map/tavg/2023-06-15/	yes	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	no	yes	no	yes	yes	yes	no	no	yes	yes	yes	yes	no	no								yes							yes	yes
Climate Impact Lab	Climate Impact Lab	Started in 2016, the Climate Impact Lab is a non-profit founded by the University of Chicago’s Energy Policy Institute, the University of California, Berkeley, Rhodium Group and Rutgers University. It uses historical socioeconomic and climate data to show how climate change has and will impact societies.	2023	2023-07-18	CIL	temperature	https://impactlab.org/	no	yes	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	no	no	no	yes	yes	yes	yes	yes	no	yes	no	no	yes	yes
