ipcc_annex	c_group_im24_sh	iso_code	country	substance	year	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
Non-Annex_I	Southern_Africa	AGO	Angola	CH4	2000	14471499	14436141	14441777	14502232	14478749	14465564	14476042	14442625	14448404	14509146	14482372	14464602
Non-Annex_I	Southern_Africa	AGO	Angola	CO2	2000	27591986	27720741	28860744	29511427	28767121	27978269	2763688	27741635	28892783	29547394	28773541	28024182
Non-Annex_I	Southern_Africa	AGO	Angola	N2O	2000	849472	8496933	8543693	8579552	8543731	8507806	8495056	8497075	8543878	8579711	8543677	8508095
Non-Annex_I	Southern_Africa	BWA	Botswana	CH4	2000	13,612,177	13,600,455	1,362,274	13,660,492	14,183,359	14,690,316	15,266,742	13,784,482	13,624,868	13,664,733	13,639,889	13,616,628
Non-Annex_I	Eastern_Africa	KEN	Kenya	CH4	2000	89,458,027	88,372,656	88,074,589	89,534,169	89,193,779	89,159,125	89,604,222	88,581,867	88,289,293	89,759,234	89,312,677	89,129,425
Non-Annex_I	Eastern_Africa	MDG	Madagascar	CH4	2000	46,867,611	46,629,798	45,710,057	4,652,676	47,700,252	68,448,762	90,915,537	76,532,907	75,455,963	63,087,613	56,543,146	47,860,515
Non-Annex_I	Southern_Africa	NAM	Namibia	CH4	2000	14,108,331	14,084,314	14,125,894	1,419,871	14,226,495	14,482,298	14,669,593	14,140,374	1,413,998	14,205,593	14,158,347	14,114,949
Non-Annex_I	Western_Africa	NGA	Nigeria	CH4	2000	83,553,405	83,617,605	83,535,459	8,299,798	82,915,986	83,666,273	85,483,037	86,490,644	86,550,817	862,379	8,471,742	83,372,842
Non-Annex_I	Southern_Africa	TZA	Tanzania_United Republic of	CH4	2000	87,371,744	87,173,332	86,818,136	86,071,808	85,880,232	87,489,244	91,372,562	93,128,292	93,066,596	92,784,044	89,610,735	8,687,807
Non-Annex_I	Southern_Africa	ZAF	South Africa	CH4	2000	23,747,442	23,722,547	23,908,176	24,101,029	24,784,699	24,805,692	25,097,353	24,239,777	24,189,624	2,410,242	23,942,376	23,791,228
Non-Annex_I	Southern_Africa	ZMB	Zambia	CH4	2000	22,267,745	21,921,806	21,989,296	22,572,949	22,328,244	23,503,253	42,148,611	2,210,113	22,175,721	22,771,209	22,436,336	22,198,321
Non-Annex_I	Southern_Africa	ZWE	Zimbabwe	CH4	2000	38,482,906	38,527,945	3,887,804	39,098,836	43,123,296	48,765,382	56,008,078	4,330,977	38,884,542	39,103,163	38,841,542	38,581,291
Non-Annex_I	Southern_Africa	BWA	Botswana	CO2	2000	42,140,252	43,348,337	46,670,245	46,744,334	69,480,944	85,425,456	10,760,229	50,753,912	44,725,005	4,682,037	44,963,561	44,493,521
Non-Annex_I	Eastern_Africa	KEN	Kenya	CO2	2000	36,915,223	36,887,979	37,622,015	3,799,425	37,695,433	37,297,097	37,047,177	36,952,098	3,771,896	38,104,074	37,718,412	3,742,791
Non-Annex_I	Eastern_Africa	MDG	Madagascar	CO2	2000	7,742,099	79,559,329	95,570,768	10,419,793	92,243,947	21,342,909	6,222,932	78,180,312	94,374,631	10,606,869	94,705,235	82,312,081
Non-Annex_I	Southern_Africa	NAM	Namibia	CO2	2000	17,064,564	17,815,815	2,118,014	23,143,987	26,035,383	431,072	54,673,382	22,264,995	22,473,048	23,947,818	21,416,528	18,450,978
Non-Annex_I	Western_Africa	NGA	Nigeria	CO2	2000	32,045,949	32,181,425	33,270,361	33,955,687	33,217,297	32405,64	32,087,522	32,200,857	33,299,972	33,988,802	33,223,092	32,447,791
Non-Annex_I	Southern_Africa	TZA	Tanzania_United Republic of	CO2	2000	43,346,229	43,480,176	45,294,278	46,368,429	45,188,554	4,402,488	43,364,767	43,487,338	45,306,186	4638,17	45,189,598	44,046,028
Non-Annex_I	Southern_Africa	ZAF	South Africa	CO2	2000	32,710,178	32,638,046	33,917,345	35,294,912	38,014,887	38,000,764	39,393,717	35,618,877	35,956,145	34,445,783	33,519,205	32,628,901
Non-Annex_I	Southern_Africa	ZMB	Zambia	CO2	2000	96,875,433	98,039,331	11,047,136	1,178,757	10,950,422	14,815,862	81,892,295	98,036,212	11,047,362	11,787,563	10,949,102	10,129,464
Non-Annex_I	Southern_Africa	ZWE	Zimbabwe	CO2	2000	25,753,432	25,774,519	2,847,429	29,848,655	43,900,151	62,644,978	87,794,696	43,486,373	28,937,124	3,004,441	28,279,896	26,903,117
Non-Annex_I	Southern_Africa	BWA	Botswana	N2O	2000	4,685,041	4,688,007	4,698,438	4,702,673	4,784,909	48,548	4,941,076	4,718,524	4,697,129	4,704,236	4,697,112	4,690,942
Non-Annex_I	Eastern_Africa	KEN	Kenya	N2O	2000	24,510,897	24,499,014	2,451,404	2,454,679	24,530,491	24,514,405	24,512,323	24,499,757	24,515,031	24,547,824	2,453,061	24,515,528
Non-Annex_I	Eastern_Africa	MDG	Madagascar	N2O	2000	15,461,252	15,470,595	15,542,899	15,586,398	15,532,615	15,974,147	17,497,583	1,546,969	15,542,107	15,591,208	15,538,298	15,482,309
