id,country,year,month,date,monthly_rainfall_mm,average_monthly_rainfall
1,Angola,1990,Jan,1990-01-01,171.72,
2,Angola,1990,Feb,1990-02-01,143.3,
3,Angola,1990,Mar,1990-03-01,174.2,
4,Angola,1990,Apr,1990-04-01,113.72,
5,Angola,1990,May,1990-05-01,20.86,
6,Angola,1990,Jun,1990-06-01,1.23,
7,Angola,1990,Jul,1990-07-01,0.99,
8,Angola,1990,Aug,1990-08-01,4.1,
9,Angola,1990,Sep,1990-09-01,23.86,
10,Angola,1990,Oct,1990-10-01,85.56,
11,Angola,1990,Nov,1990-11-01,137.98,
12,Angola,1990,Dec,1990-12-01,159.17,86.39
13,Angola,1991,Jan,1991-01-01,178.3,86.94
14,Angola,1991,Feb,1991-02-01,142.61,86.88
15,Angola,1991,Mar,1991-03-01,167.61,86.33
16,Angola,1991,Apr,1991-04-01,105.48,85.65
17,Angola,1991,May,1991-05-01,17.3,85.35
18,Angola,1991,Jun,1991-06-01,0.64,85.30
19,Angola,1991,Jul,1991-07-01,1.08,85.31
20,Angola,1991,Aug,1991-08-01,4.15,85.31
21,Angola,1991,Sep,1991-09-01,25.56,85.45
22,Angola,1991,Oct,1991-10-01,76.64,84.71
23,Angola,1991,Nov,1991-11-01,173.27,87.65
24,Angola,1991,Dec,1991-12-01,187.68,90.03
25,Angola,1992,Jan,1992-01-01,162.78,88.73
26,Angola,1992,Feb,1992-02-01,137.92,88.34
27,Angola,1992,Mar,1992-03-01,126.55,84.92
28,Angola,1992,Apr,1992-04-01,99.23,84.40
29,Angola,1992,May,1992-05-01,18.98,84.54
30,Angola,1992,Jun,1992-06-01,0.64,84.54
31,Angola,1992,Jul,1992-07-01,0.68,84.51
32,Angola,1992,Aug,1992-08-01,2.92,84.40
33,Angola,1992,Sep,1992-09-01,20.23,83.96
34,Angola,1992,Oct,1992-10-01,69.47,83.36
35,Angola,1992,Nov,1992-11-01,142.5,80.80
36,Angola,1992,Dec,1992-12-01,150.24,77.68
37,Angola,1993,Jan,1993-01-01,165.52,77.91
38,Angola,1993,Feb,1993-02-01,168.16,80.43
39,Angola,1993,Mar,1993-03-01,176.14,84.56
40,Angola,1993,Apr,1993-04-01,115.93,85.95
41,Angola,1993,May,1993-05-01,14.3,85.56
42,Angola,1993,Jun,1993-06-01,0.48,85.55
43,Angola,1993,Jul,1993-07-01,0.55,85.54
44,Angola,1993,Aug,1993-08-01,2.58,85.51
45,Angola,1993,Sep,1993-09-01,21.18,85.59
46,Angola,1993,Oct,1993-10-01,73.29,85.91
47,Angola,1993,Nov,1993-11-01,145.3,86.14
48,Angola,1993,Dec,1993-12-01,152.53,86.33
49,Angola,1994,Jan,1994-01-01,165.97,86.37
