country,iso_code,year,variable,measure,generation
Angola,AGO,2000,Fossil,percentage,36.81
Angola,AGO,2001,Fossil,percentage,37.8
Angola,AGO,2002,Fossil,percentage,35.23
Angola,AGO,2003,Fossil,percentage,37.69
Angola,AGO,2004,Fossil,percentage,21.88
Angola,AGO,2005,Fossil,percentage,15.59
Angola,AGO,2006,Fossil,percentage,14.77
Angola,AGO,2007,Fossil,percentage,23.15
Angola,AGO,2008,Fossil,percentage,22.22
Angola,AGO,2009,Fossil,percentage,33.4
Angola,AGO,2010,Fossil,percentage,32.05
Angola,AGO,2011,Fossil,percentage,28.98
Angola,AGO,2012,Fossil,percentage,29.02
Angola,AGO,2013,Fossil,percentage,41.96
Angola,AGO,2014,Fossil,percentage,47.18
Angola,AGO,2015,Fossil,percentage,45.4
Angola,AGO,2016,Fossil,percentage,41.44
Angola,AGO,2017,Fossil,percentage,28.58
Angola,AGO,2018,Fossil,percentage,20.55
Angola,AGO,2019,Fossil,percentage,26.8
Angola,AGO,2020,Fossil,percentage,24.39
Angola,AGO,2021,Fossil,percentage,24.57
Angola,AGO,2022,Fossil,percentage,24.97
Angola,AGO,2000,Fossil,twh,0.53
Angola,AGO,2001,Fossil,twh,0.62
Angola,AGO,2002,Fossil,twh,0.62
Angola,AGO,2003,Fossil,twh,0.75
Angola,AGO,2004,Fossil,twh,0.49
Angola,AGO,2005,Fossil,twh,0.41
Angola,AGO,2006,Fossil,twh,0.44
Angola,AGO,2007,Fossil,twh,0.75
Angola,AGO,2008,Fossil,twh,0.9
Angola,AGO,2009,Fossil,twh,1.64
Angola,AGO,2010,Fossil,twh,1.75
Angola,AGO,2011,Fossil,twh,1.64
Angola,AGO,2012,Fossil,twh,2.24
Angola,AGO,2013,Fossil,twh,3.42
Angola,AGO,2014,Fossil,twh,4.51
Angola,AGO,2015,Fossil,twh,4.44
Angola,AGO,2016,Fossil,twh,4.55
Angola,AGO,2017,Fossil,twh,3.09
Angola,AGO,2018,Fossil,twh,2.7
Angola,AGO,2019,Fossil,twh,4.24
Angola,AGO,2020,Fossil,twh,4.1
Angola,AGO,2021,Fossil,twh,4.14
Angola,AGO,2022,Fossil,twh,4.23
Botswana,BWA,2000,Fossil,percentage,100
Botswana,BWA,2001,Fossil,percentage,100
Botswana,BWA,2002,Fossil,percentage,100
Botswana,BWA,2003,Fossil,percentage,100
Botswana,BWA,2004,Fossil,percentage,100
Botswana,BWA,2005,Fossil,percentage,100
Botswana,BWA,2006,Fossil,percentage,100
Botswana,BWA,2007,Fossil,percentage,100
Botswana,BWA,2008,Fossil,percentage,100
Botswana,BWA,2009,Fossil,percentage,100
Botswana,BWA,2010,Fossil,percentage,100
Botswana,BWA,2011,Fossil,percentage,100
Botswana,BWA,2012,Fossil,percentage,100
Botswana,BWA,2013,Fossil,percentage,100
Botswana,BWA,2014,Fossil,percentage,100
Botswana,BWA,2015,Fossil,percentage,100
Botswana,BWA,2016,Fossil,percentage,100
Botswana,BWA,2017,Fossil,percentage,100
Botswana,BWA,2018,Fossil,percentage,99.68
Botswana,BWA,2019,Fossil,percentage,99.6
Botswana,BWA,2020,Fossil,percentage,99.54
Botswana,BWA,2021,Fossil,percentage,99.59
Botswana,BWA,2022,Fossil,percentage,99.62
Botswana,BWA,2000,Fossil,twh,1.14
Botswana,BWA,2001,Fossil,twh,1.13
Botswana,BWA,2002,Fossil,twh,1.15
Botswana,BWA,2003,Fossil,twh,1.04
Botswana,BWA,2004,Fossil,twh,0.97
Botswana,BWA,2005,Fossil,twh,1.06
Botswana,BWA,2006,Fossil,twh,0.99
Botswana,BWA,2007,Fossil,twh,0.83
Botswana,BWA,2008,Fossil,twh,0.7
Botswana,BWA,2009,Fossil,twh,0.62
Botswana,BWA,2010,Fossil,twh,0.53
Botswana,BWA,2011,Fossil,twh,0.48
Botswana,BWA,2012,Fossil,twh,0.35
Botswana,BWA,2013,Fossil,twh,0.92
Botswana,BWA,2014,Fossil,twh,2.31
Botswana,BWA,2015,Fossil,twh,2.97
Botswana,BWA,2016,Fossil,twh,2.69
Botswana,BWA,2017,Fossil,twh,3.02
Botswana,BWA,2018,Fossil,twh,3.1
Botswana,BWA,2019,Fossil,twh,2.5
Botswana,BWA,2020,Fossil,twh,2.17
Kenya,KEN,2000,Fossil,percentage,59.63
Kenya,KEN,2001,Fossil,percentage,40.54
Kenya,KEN,2002,Fossil,percentage,23.3
Kenya,KEN,2003,Fossil,percentage,18.07
Kenya,KEN,2004,Fossil,percentage,29.55
Kenya,KEN,2005,Fossil,percentage,33.28
Kenya,KEN,2006,Fossil,percentage,37.15
Kenya,KEN,2007,Fossil,percentage,25.94
Kenya,KEN,2008,Fossil,percentage,27.32
Kenya,KEN,2009,Fossil,percentage,39.39
Kenya,KEN,2010,Fossil,percentage,25.56
Kenya,KEN,2011,Fossil,percentage,30.78
Kenya,KEN,2012,Fossil,percentage,22.52
Kenya,KEN,2013,Fossil,percentage,21.66
Kenya,KEN,2014,Fossil,percentage,23.59
Kenya,KEN,2015,Fossil,percentage,10.19
Kenya,KEN,2016,Fossil,percentage,10.74
Kenya,KEN,2017,Fossil,percentage,19.11
Kenya,KEN,2018,Fossil,percentage,10.83
Kenya,KEN,2019,Fossil,percentage,9.38
Kenya,KEN,2020,Fossil,percentage,5.78
Kenya,KEN,2021,Fossil,percentage,7.87
Kenya,KEN,2022,Fossil,percentage,8.01
