year,total_co2e,co2_metric_tonnes,ch4_metric_tonnes,n2o_metric_tonnes
2000,174736,173858,1.8,2.7
2001,176361,175475,1.8,2.7
2002,182222,181307,1.9,2.8
2003,195970,194985,2.0,3.0
2004,205724,204690,2.1,3.2
2005,207250,206209,2.1,3.2
2006,208512,207465,2.2,3.2
2007,229263,228111,2.4,3.6
2008,219645,218543,2.3,3.4
2009,225711,224579,2.4,3.5
2010,232572,231405,2.4,3.6
2011,234364,233189,2.5,3.6
2012,244723,243497,2.6,3.8
2013,238657,237464,2.6,3.7
2014,233280,232115,2.5,3.6
2015,225121,223999,2.5,3.4
2016,218212,217118,2.3,3.4
2017,215750,214668,2.3,3.3
2018,223490,222370,2.4,3.5
2019,219099,217995,2.4,3.4
2020,203421,202376,2.2,3.2
