id,country,year,month,mm
1,Angola,1990,Jan,171.72
2,Angola,1990,Feb,143.3
3,Angola,1990,Mar,174.2
4,Angola,1990,Apr,113.72
5,Angola,1990,May,20.86
6,Angola,1990,Jun,1.23
7,Angola,1990,Jul,0.99
8,Angola,1990,Aug,4.1
9,Angola,1990,Sep,23.86
10,Angola,1990,Oct,85.56
11,Angola,1990,Nov,137.98
12,Angola,1990,Dec,159.17
13,Angola,1991,Jan,178.3
14,Angola,1991,Feb,142.61
15,Angola,1991,Mar,167.61
16,Angola,1991,Apr,105.48
17,Angola,1991,May,17.3
18,Angola,1991,Jun,0.64
19,Angola,1991,Jul,1.08
20,Angola,1991,Aug,4.15
21,Angola,1991,Sep,25.56
22,Angola,1991,Oct,76.64
23,Angola,1991,Nov,173.27
24,Angola,1991,Dec,187.68
25,Angola,1992,Jan,162.78
26,Angola,1992,Feb,137.92
27,Angola,1992,Mar,126.55
28,Angola,1992,Apr,99.23
29,Angola,1992,May,18.98
30,Angola,1992,Jun,0.64
31,Angola,1992,Jul,0.68
32,Angola,1992,Aug,2.92
33,Angola,1992,Sep,20.23
34,Angola,1992,Oct,69.47
35,Angola,1992,Nov,142.5
36,Angola,1992,Dec,150.24
37,Angola,1993,Jan,165.52
38,Angola,1993,Feb,168.16
39,Angola,1993,Mar,176.14
40,Angola,1993,Apr,115.93
41,Angola,1993,May,14.3
42,Angola,1993,Jun,0.48
43,Angola,1993,Jul,0.55
44,Angola,1993,Aug,2.58
45,Angola,1993,Sep,21.18
46,Angola,1993,Oct,73.29
47,Angola,1993,Nov,145.3
48,Angola,1993,Dec,152.53
49,Angola,1994,Jan,165.97
50,Angola,1994,Feb,141.93
51,Angola,1994,Mar,149.34
52,Angola,1994,Apr,99.95
53,Angola,1994,May,16.68
54,Angola,1994,Jun,0.51
55,Angola,1994,Jul,0.75
56,Angola,1994,Aug,3.5
57,Angola,1994,Sep,19.98
58,Angola,1994,Oct,85.82
59,Angola,1994,Nov,148.22
60,Angola,1994,Dec,153.52
61,Angola,1995,Jan,124.19
62,Angola,1995,Feb,147.06
63,Angola,1995,Mar,166.2
64,Angola,1995,Apr,102.51
65,Angola,1995,May,17.57
66,Angola,1995,Jun,0.48
67,Angola,1995,Jul,0.49
68,Angola,1995,Aug,4.47
69,Angola,1995,Sep,22.21
70,Angola,1995,Oct,81.03
71,Angola,1995,Nov,139.55
72,Angola,1995,Dec,150.86
73,Angola,1996,Jan,170.52
74,Angola,1996,Feb,142.08
75,Angola,1996,Mar,166.39
76,Angola,1996,Apr,106.56
77,Angola,1996,May,15.41
78,Angola,1996,Jun,0.7
79,Angola,1996,Jul,0.91
80,Angola,1996,Aug,3.65
81,Angola,1996,Sep,22.39
82,Angola,1996,Oct,70.45
83,Angola,1996,Nov,141.4
84,Angola,1996,Dec,150.91
85,Angola,1997,Jan,178.37
86,Angola,1997,Feb,161.88
87,Angola,1997,Mar,205.26
88,Angola,1997,Apr,98.3
89,Angola,1997,May,17.73
90,Angola,1997,Jun,0.82
91,Angola,1997,Jul,0.76
92,Angola,1997,Aug,4.55
93,Angola,1997,Sep,24.38
94,Angola,1997,Oct,87.25
95,Angola,1997,Nov,134.29
96,Angola,1997,Dec,167.54
97,Angola,1998,Jan,167.48
98,Angola,1998,Feb,127.07
99,Angola,1998,Mar,189.46
100,Angola,1998,Apr,106.29
101,Angola,1998,May,15.72
