ID,Start Date,End Date,City,Province,Union,Employer,Type of strike,Strikers,Reason,Details
1,06/01/2023,07/02/2023,Gqeberha,Eastern Cape,Workers,Libhongolethu IPTS bus service/Nelson Mandela Bay municipality,Wildcat,1,Unpaid bonuses/allowances/salaries,Workers went on strike after their bonuses were not paid
2,31/01/2023,31/01/2023,Emfuleni,Gauteng,Samwu,Emfuleni Local Municipality,Protected,1,Unpaid bonuses/allowances/salaries,"Workers went on strike against irregular salary payments, unpaid January salaries and deteriorating service delivery"
3,01/02/2023,unknown,Ekurhuleni,Gauteng,PSWTU,Ngodvongodvo Security and Zabalaza Security (City of Ekurhuleni),Wildcat,1,Unpaid bonuses/allowances/salaries,The city failed to pay the security companies and 1000 workers went unpaid as a result in January. The workers went on strike at five sites that they guard for the municipality. The city claimed it had paid the security companies.
4,02/02/2023,unknown,"Hopetown, Orania, and Strydenburg",Northern Cape,Samwu,Thembelihle local municipality,Protected,1,Unpaid bonuses/allowances/salaries,"The municipal manager resigned and the chief financial officer and other executive officials were suspended, leaving nobody to make payments. Workers went unpaid in January and their medical aid schemes went into arrears."
5,06/02/2023,06/02/2023,Stellenbosch,Western Cape,Solidarity,Distell,Wildcat,50,Union recognition/organisational rights,"50 workers went on strike for two days demanding recognition of their union, Solidarity."
6,14/02/2023,14/02/2023,"Sandton, Johannesburg",Gauteng,"Awu, Kawu, Numsa, and Satawu",iMvula Group,Protected,1,Unpaid bonuses/allowances/salaries,"Workers medical aids were not paid and they could not access health services, therefore downing tools"
7,22/02/2023,22/02/2023,Cape Town,Western Cape,Saftu unions,Government,Workplace-related action,1,Against austerity/load shedding,"The unions protested during the Budget speech, rejecting government's austerity measures and demanding a 10% wage increase in public sector wages, a R1 500 basic income grant and more public sector jobs."
8,01/03/2023,01/03/2023,Pretoria,Gauteng,"Awu, Kawu, Numsa, and Satawu",Mafoko Security Patrol,Protected,350,Unpaid allowances/increases,"The company deducted medical aid contributions but did not pay them over to the medical fund, leaving workers to pay their medical bills themselves. Unions say R16 million is owed."
9,01/03/2023,01/03/2023,Stellenbosch,Western Cape,Transport Freight and General Workers Union (TFGWU),Trip Trans Trucking Company,Protected,1,Health and Safety and Union Recognition/Organisational Rights,"Workers went on strike against union subs deductions that were never paid over to the union, which is not recognised, and cameras in the truck surveilling them, being registered as BEE with the company somehow and not paid and no payment for injury on duty"
10,03/03/2023,03/03/2023,Fort Beaufort,Eastern Cape,PSWTU,Whispers Security Company,Wildcat,1,Unpaid bonuses/allowances/salaries,"Security guards held a three-hour strike after the Department of Health did not pay their company . Police removed the strikers. On 18 May, 33 strikers were dismissed."
11,06/03/2023,06/03/2023,Johannesburg,Gauteng,Samwu,Rea Vaya Bus Services,Wildcat,1,Unpaid bonuses/allowances/salaries,"All buses were blocked from leaving the terminus in a wildcat strike after drivers were not paid by Piotrans, who is contracted by Rea Vaya to manage the bus services"
12,06/03/2023,16/03/2023,Nationwide,Nationwide,"Public sector unions' strike: PSA, Nehawu, Popcru, SAPU, Denosa, Nupsaw, Samatu, Pawusa, Saepu and Hospersa",DPSA,Protected,1,Wage and allowance increase,"The strike was for a 10% increase in the 2022/23 wage talks, R2500 monthly housing allowance and bursary scheme for employees' children. The union settled after 10 days on an agreement to include the 2022/23 wage dispute in the 2023/24 negotiations and to conclude a minimum service level agreement within 6 months."
13,09/03/2023,09/03/2023,Johannesburg,Gauteng,Nupsaw,Gauteng department of health,Protected,1,Permanent jobs/end labour broking,Union members demanded the absorption of 4000 EPWP workers on temporary contracts who had been doing permanent work.
14,10/03/2023,10/03/2023,Villiersdorp,Western Cape,Bawsi Agricultural Workers Union of SA (Bawusa),High Noon Farm,Wildcat,70,Racism and Wage and allowance increase,"Farmworkers downed tools against the implementation of a 5% increase when they had demanded 8%, against the farmer's physical abuse of workers, against the lack of transport to and from the farm, and against the reduction of GP visits benefit to 2 visits per year."
15,12/03/2023,26/03/2023,Durban,KwaZulu-Natal,Satawu ,C Steinweg Bridge Terminals,Protected,-,Wage and allowance increase,"Union demanded a pay increase of 7% plus backpay, employer offered 6.5% with no backpay."
16,14/03/2023,14/03/2023,Johannesburg,Gauteng,Nupsaw,Gauteng department of health,Wildcat,4000,Permanent jobs/end labour broking,Expanded Public Works Programme (EPWP) workers had a night vigil outside the offices of the Gauteng Department of Health against contract termination and for absorption. The workers then occupied the Premier's office and continued protesting the next day.
