H01,H02,H03,H04,H05,H06,H07,H08,date,rands,new_date
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Jan.2017,18.65,2017-01-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Feb.2017,18.58,2017-02-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Mar.2017,18.65,2017-03-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Apr.2017,18.26,2017-04-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,May.2017,18.27,2017-05-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Jun.2017,18.48,2017-06-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Jul.2017,18.41,2017-07-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Aug.2017,18.65,2017-08-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Sep.2017,18.5,2017-09-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Oct.2017,19.2,2017-10-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Nov.2017,18.62,2017-11-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Dec.2017,19.2,2017-12-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Jan.2018,19.41,2018-01-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Feb.2018,19.13,2018-02-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Mar.2018,18.93,2018-03-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Apr.2018,18.69,2018-04-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,May.2018,18.64,2018-05-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Jun.2018,18.69,2018-06-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Jul.2018,18.78,2018-07-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Aug.2018,18.45,2018-08-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Sep.2018,18.11,2018-09-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Oct.2018,18.91,2018-10-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Nov.2018,18.59,2018-11-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Dec.2018,18.56,2018-12-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Jan.2019,18.98,2019-01-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Feb.2019,19.13,2019-02-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Mar.2019,19.64,2019-03-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Apr.2019,19.5,2019-04-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,May.2019,19.52,2019-05-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Jun.2019,19.77,2019-06-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Jul.2019,19.57,2019-07-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Aug.2019,19.17,2019-08-01
P0141,Consumer Price Index,1111001,Rice,Price (Rand),monthly,10917,1 Kilogram,Sep.2019,19.46,2019-09-01
