	H01	H02	H03	H04	H05	H06	H07	H08	date	rands	notes
1	P0141	Consumer Price Index	1111001	Rice	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	18.65	
80	P0141	Consumer Price Index	1111001	Rice	Price (Rand)	monthly	10924	2 Kilogram	2017-01-01 	26.87	
159	P0141	Consumer Price Index	1112001	Loaf of white bread	Price (Rand)	monthly	10902	700 Gram	2017-01-01 	13.41	
238	P0141	Consumer Price Index	1112002	Loaf of brown bread	Price (Rand)	monthly	10902	700 Gram	2017-01-01 	12.31	
317	P0141	Consumer Price Index	1112003	Sweet biscuits	Price (Rand)	monthly	10855	200 Gram	2017-01-01 	14.46	
396	P0141	Consumer Price Index	1112004	Savoury biscuits	Price (Rand)	monthly	10855	200 Gram	2017-01-01 	19.21	
475	P0141	Consumer Price Index	1112005	Bread rolls	Price (Rand)	monthly	10558	For 6	2017-01-01 	13.09	
554	P0141	Consumer Price Index	1112301	Rusks	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	33.48	
633	P0141	Consumer Price Index	1113001	Spaghetti	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	13.15	
712	P0141	Consumer Price Index	1113002	Macaroni	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	12.88	
791	P0141	Consumer Price Index	1113003	Pasta (excl spaghetti, macaroni)	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	17.53	
870	P0141	Consumer Price Index	1113004	Instant noodles (e.g. 2 minute noodles)	Price (Rand)	monthly	10547	73 Gram	2017-01-01 	4.38	
949	P0141	Consumer Price Index	1116001	Cake flour	Price (Rand)	monthly	10926	2.5 Kilogram	2017-01-01 	26.81	
1028	P0141	Consumer Price Index	1116002	Bread flour	Price (Rand)	monthly	10926	2.5 Kilogram	2017-01-01 	31.41	
1107	P0141	Consumer Price Index	1116003	Maize meal	Price (Rand)	monthly	10926	2,5 Kilogram	2017-01-01 	..	
1186	P0141	Consumer Price Index	1116003	Maize meal	Price (Rand)	monthly	10931	5 Kilogram	2017-01-01 	..	
1265	P0141	Consumer Price Index	1116005	Cereals	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	31.74	
1344	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	12.87	
1423	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10926	2.5 Kilogram	2017-01-01 	28.92	
1502	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10931	5 Kilogram	2017-01-01 	54.39	
1581	P0141	Consumer Price Index	1116009	Special maize	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	11.51	
1660	P0141	Consumer Price Index	1116009	Special maize	Price (Rand)	monthly	10926	2.5 Kilogram	2017-01-01 	26.47	
1739	P0141	Consumer Price Index	1116010	Hot cereals (porridge) incl instant porridge	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	19.76	
1818	P0141	Consumer Price Index	1116011	Ready-mix flour	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	23.37	
1897	P0141	Consumer Price Index	1116012	Samp	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	..	
1976	P0141	Consumer Price Index	1121001	Beef rump steak	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	117.18	
2055	P0141	Consumer Price Index	1121002	Beef brisket	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	72.42	
2134	P0141	Consumer Price Index	1121003	Beef chuck	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	73.67	
2213	P0141	Consumer Price Index	1121004	Beef T-bone	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	90.48	
2292	P0141	Consumer Price Index	1121005	Beef mince	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	71.34	
2371	P0141	Consumer Price Index	1121006	Beef fillet	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	173.64	
2450	P0141	Consumer Price Index	1121008	Beef Sirloin	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	121.18	
2529	P0141	Consumer Price Index	1121009	Stewing beef	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	70.35	
2608	P0141	Consumer Price Index	1121010	Beef offal	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	43.23	
2687	P0141	Consumer Price Index	1122001	Pork chops	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	78.59	
2766	P0141	Consumer Price Index	1122002	Pork ribs	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	80.61	
2845	P0141	Consumer Price Index	1122003	Pork fillet	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	96.07	
2924	P0141	Consumer Price Index	1123002	Mutton/Lamb rib chop	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	133.99	
3003	P0141	Consumer Price Index	1123003	Mutton/Lamb loin chop	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	137.32	
3082	P0141	Consumer Price Index	1123005	Mutton/Lamb leg	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	123.84	
3161	P0141	Consumer Price Index	1123006	Mutton/Lamb neck	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	97.13	
3240	P0141	Consumer Price Index	1123007	Mutton/Lamb ofal	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	39.77	
3319	P0141	Consumer Price Index	1123008	Stewing mutton/lamb	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	89.7	
3398	P0141	Consumer Price Index	1124001	Whole chicken - fresh	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	43.69	
3477	P0141	Consumer Price Index	1124002	Chicken portions - fresh	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	56.04	
3556	P0141	Consumer Price Index	1124005	IQF chicken portions	Price (Rand)	monthly	10924	2 Kilogram	2017-01-01 	61.47	
3635	P0141	Consumer Price Index	1124006	Chicken portions frozen - non IQF	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	40.74	
3714	P0141	Consumer Price Index	1124007	Chicken giblets (neck, gizzards, hearts, etc)	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	30.89	
3793	P0141	Consumer Price Index	1125004	Polony	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	36.37	
3872	P0141	Consumer Price Index	1125005	Ham	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	35.37	
3951	P0141	Consumer Price Index	1125006	Biltong	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	249.08	
4030	P0141	Consumer Price Index	1125007	Bacon	Price (Rand)	monthly	10855	200 Gram	2017-01-01 	28.78	
4109	P0141	Consumer Price Index	1125009	Sausage	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	70.11	
4188	P0141	Consumer Price Index	1126002	Beef extract	Price (Rand)	monthly	10839	120 Gram	2017-01-01 	12.35	
4267	P0141	Consumer Price Index	1126005	Corned beef	Price (Rand)	monthly	10869	300 Gram	2017-01-01 	21.97	
4346	P0141	Consumer Price Index	1131001	Hake - frozen	Price (Rand)	monthly	10884	400 Gram	2017-01-01 	52.51	
4425	P0141	Consumer Price Index	1134001	Fish fingers - frozen	Price (Rand)	monthly	10884	400 Gram	2017-01-01 	37.44	
4504	P0141	Consumer Price Index	1134002	Tuna - tinned	Price (Rand)	monthly	10850	170 Gram	2017-01-01 	17.24	
4583	P0141	Consumer Price Index	1134003	Fish (excl tuna) - tinned	Price (Rand)	monthly	10884	400 Gram	2017-01-01 	18.1	
4662	P0141	Consumer Price Index	1141001	Full cream milk - fresh	Price (Rand)	monthly	10963	2 Litre	2017-01-01 	26.06	
4741	P0141	Consumer Price Index	1141002	Full cream milk - long life	Price (Rand)	monthly	10960	1 Litre	2017-01-01 	14.01	
4820	P0141	Consumer Price Index	1142001	Low fat milk - fresh	Price (Rand)	monthly	10963	2 Litre	2017-01-01 	26.3	
4899	P0141	Consumer Price Index	1142002	Low fat milk - long life	Price (Rand)	monthly	10960	1 Litre	2017-01-01 	13.92	
4978	P0141	Consumer Price Index	1143001	Powdered milk	Price (Rand)	monthly	10916	900 Gram	2017-01-01 	138.02	
5057	P0141	Consumer Price Index	1143002	Whiteners	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	23.34	
5136	P0141	Consumer Price Index	1143003	Condensed milk	Price (Rand)	monthly	10881	385 Gram	2017-01-01 	22.38	
5215	P0141	Consumer Price Index	1144001	Plain yogurt	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	28.27	
5294	P0141	Consumer Price Index	1144002	Flavoured yogurt	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	29.01	
5373	P0141	Consumer Price Index	1145001	Cheddar cheese	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	98.54	
5452	P0141	Consumer Price Index	1145001	Cheddar cheese	Price (Rand)	monthly	10916	900 Gram	2017-01-01 	93.48	
5531	P0141	Consumer Price Index	1145002	Gouda cheese	Price (Rand)	monthly	10855	200 Gram	2017-01-01 	25.63	
5610	P0141	Consumer Price Index	1145002	Gouda cheese	Price (Rand)	monthly	10916	900 Gram	2017-01-01 	94.56	
5689	P0141	Consumer Price Index	1145003	Cheese spread	Price (Rand)	monthly	10863	250 Gram	2017-01-01 	28.54	
5768	P0141	Consumer Price Index	1145004	Feta cheese	Price (Rand)	monthly	10884	400 Gram	2017-01-01 	44.36	
